Rs(GBu),NumCh,BCh(GHz),Lspan(KM),Ptx(dBm),CutNumCh,ChDistCutCen,TotCongLSP(%),RHEffecIdle,LHEffecIdle,RHCongLSP(%),RFirstIdle,LHCongLSP(%),LFirstIdle,PowNli(dB),PowAse(dB),SnrLink(dB)
32,117,3.2e+07,115,2,73,14,11.111,2,4,6.8182,1,12.5,1,-59.435,-51.778,23.09
96,45,9.6e+07,100,3.5,3,20,11.111,1,0,9.5238,7,0,0,-62.958,-50.424,23.688
96,45,9.6e+07,70,5,14,9,11.111,3,0,12.903,0,0,0,-57.481,-57.324,29.392
32,117,3.2e+07,60,-4,6,53,11.111,1,1,9.9099,19,20,2,-79.077,-64.445,30.298
64,59,6.4e+07,120,2.5,24,6,11.864,1,3,5.7143,5,17.391,1,-62.533,-47.63,19.992
64,59,6.4e+07,105,0,22,8,11.864,0,5,2.7027,32,23.81,0,-69.151,-51.045,20.978
64,59,6.4e+07,60,-4.5,37,7,11.864,2,1,9.0909,7,11.111,4,-84.455,-61.435,26.913
96,45,9.6e+07,85,2.5,29,6,11.111,2,0,12.5,3,7.1429,19,-65.761,-53.857,26.086
96,45,9.6e+07,80,-1,44,21,13.333,0,2,0,0,11.628,9,-76.491,-55.008,23.977
32,117,3.2e+07,85,-5,70,11,11.111,3,1,10.638,2,10.145,10,-81.466,-58.628,23.606
32,117,3.2e+07,65,-1.5,4,55,10.256,2,0,9.7345,0,0,0,-70.434,-63.265,31.002
64,59,6.4e+07,115,-2.5,4,26,11.864,0,0,10.909,13,0,0,-78.483,-48.767,16.263
64,59,6.4e+07,110,-1.5,42,12,11.864,0,2,5.8824,14,12.195,6,-75.2,-49.905,18.393
96,45,9.6e+07,55,-2.5,22,1,13.333,3,1,13.043,5,9.5238,3,-81.008,-60.868,28.326
32,117,3.2e+07,75,2.5,113,54,11.111,1,2,25,0,9.8214,6,-58.028,-60.934,28.732
96,45,9.6e+07,115,1,11,12,13.333,1,1,11.765,4,10,5,-70.174,-47.006,17.985
64,59,6.4e+07,80,0.5,17,13,11.864,2,1,9.5238,1,12.5,11,-68.7,-56.768,26.999
32,117,3.2e+07,55,-4.5,26,33,11.111,2,3,9.8901,1,12,1,-79.312,-65.639,30.957
64,59,6.4e+07,120,4.5,55,25,11.864,0,1,0,0,11.111,9,-57.361,-47.63,21.691
32,117,3.2e+07,55,0,93,34,11.111,2,4,8.3333,12,10.87,0,-65.814,-65.639,32.715
32,117,3.2e+07,85,-1.5,29,30,11.111,4,2,11.364,0,7.1429,10,-69.949,-58.628,26.819
32,117,3.2e+07,100,1,82,23,11.111,0,2,5.7143,30,12.346,8,-64.109,-55.195,25.671
96,45,9.6e+07,95,4,16,7,11.111,2,1,10.345,8,6.6667,0,-60.493,-51.566,25.043
96,45,9.6e+07,95,3,38,15,13.333,1,1,14.286,3,10.811,8,-64.209,-51.566,24.336
32,117,3.2e+07,85,5,93,34,11.111,2,2,8.3333,17,10.87,10,-52.1,-58.628,26.228
32,117,3.2e+07,110,4,106,47,11.111,2,5,18.182,2,9.5238,2,-53.689,-52.916,24.275
64,59,6.4e+07,105,-1.5,36,6,11.864,1,1,13.043,2,8.5714,8,-75.021,-51.045,19.527
32,117,3.2e+07,50,3,2,57,11.111,4,0,10.435,6,0,0,-58.543,-66.852,30.945
64,59,6.4e+07,110,1,31,1,11.864,1,0,14.286,8,6.6667,20,-67.761,-49.905,20.835
32,117,3.2e+07,65,5,70,11,11.111,2,1,10.638,15,10.145,15,-52.304,-63.265,26.97
