Rs(GBu),NumCh,BCh(GHz),Lspan(KM),Ptx(dBm),CutNumCh,ChDistCutCen,TotCongLSP(%),RHEffecIdle,LHEffecIdle,RHCongLSP(%),RFirstIdle,LHCongLSP(%),LFirstIdle,PowNli(dB),PowAse(dB),SnrLink(dB)
32,117,3.2e+07,105,-2,67,8,64.103,15,15,68,1,60.606,5,-68.618,-54.055,21.906
96,45,9.6e+07,110,3,19,4,84.444,10,11,84.615,0,83.333,1,-60.852,-48.145,20.918
32,117,3.2e+07,60,0.5,96,37,78.632,17,19,80.952,0,77.895,0,-59.875,-64.445,29.075
64,59,6.4e+07,110,-2.5,38,8,42.373,4,8,33.333,3,45.946,0,-75.897,-49.905,17.395
96,45,9.6e+07,75,-4,7,16,62.222,9,4,60.526,0,66.667,0,-82.246,-56.163,22.152
32,117,3.2e+07,70,1,109,50,53.846,4,14,50,1,53.704,0,-59.409,-62.095,28.537
96,45,9.6e+07,50,2,8,15,75.556,9,3,81.081,1,42.857,0,-65.184,-62.081,32.351
64,59,6.4e+07,55,0.5,22,8,38.983,4,3,35.135,3,42.857,1,-68.046,-62.629,32.032
32,117,3.2e+07,105,-1,105,46,84.615,11,20,91.667,0,83.654,0,-63.851,-54.055,22.622
96,45,9.6e+07,90,2,29,6,44.444,7,5,50,3,39.286,1,-65.458,-52.71,24.485
64,59,6.4e+07,50,-3.5,12,18,25.424,5,3,23.404,0,27.273,0,-79.186,-63.842,30.217
64,59,6.4e+07,120,5,8,22,62.712,7,7,56.863,0,100,0,-52.203,-47.63,21.33
32,117,3.2e+07,100,3.5,85,26,52.137,12,15,50,0,52.381,0,-51.067,-55.195,23.148
64,59,6.4e+07,60,-3,4,26,11.864,0,0,10.909,14,0,0,-80.328,-61.435,28.379
32,117,3.2e+07,75,-4,96,37,44.444,9,10,42.857,1,44.211,0,-74.977,-60.934,26.766
96,45,9.6e+07,105,-5,19,4,53.333,5,7,53.846,4,50,0,-85.962,-49.284,14.283
96,45,9.6e+07,70,1,9,14,71.111,7,7,66.667,0,87.5,1,-67.449,-57.324,27.921
96,45,9.6e+07,110,-4,28,5,80,10,9,88.235,0,74.074,0,-81.563,-48.145,14.143
64,59,6.4e+07,55,-2.5,10,20,59.322,9,5,59.184,1,55.556,2,-76.054,-62.629,29.936
96,45,9.6e+07,110,0.5,40,17,80,4,8,80,0,79.487,0,-68.46,-48.145,18.604
64,59,6.4e+07,105,0.5,20,10,71.186,9,9,69.231,0,73.684,1,-65.704,-51.045,21.399
96,45,9.6e+07,100,0.5,39,16,31.111,2,5,33.333,2,28.947,3,-70.818,-50.424,20.885
64,59,6.4e+07,95,-2.5,4,26,55.932,5,3,52.727,6,100,0,-75.833,-53.327,20.803
32,117,3.2e+07,105,-3,47,12,52.991,13,12,50,2,56.522,2,-71.943,-54.055,20.985
32,117,3.2e+07,90,-1.5,23,36,37.607,9,12,32.979,1,54.545,3,-68.033,-57.481,25.615
32,117,3.2e+07,95,0.5,1,58,51.282,13,0,50.862,0,0,0,-61.981,-56.337,25.79
32,117,3.2e+07,105,-4,51,8,98.291,22,23,96.97,0,100,0,-72.156,-54.055,19.988
96,45,9.6e+07,100,4,34,11,100,11,12,100,0,100,0,-57.171,-50.424,23.591
96,45,9.6e+07,70,-1,32,9,13.333,2,1,15.385,3,9.6774,1,-75.916,-57.324,26.264
96,45,9.6e+07,120,-5,5,18,6.6667,0,0,5,34,0,0,-88.651,-45.869,10.869
32,117,3.2e+07,110,0,117,58,41.026,0,8,0,0,40.517,2,-65.087,-52.916,22.66
64,59,6.4e+07,105,3.5,8,22,38.983,4,3,37.255,0,42.857,0,-57.438,-51.045,23.648
96,45,9.6e+07,50,1,2,21,97.778,11,1,97.674,1,100,0,-68.062,-62.081,32.104
64,59,6.4e+07,105,-2.5,4,26,16.949,2,0,16.364,8,0,0,-78.263,-51.045,18.536
96,45,9.6e+07,120,5,12,11,97.778,12,10,100,0,90.909,0,-54.189,-45.869,20.272
96,45,9.6e+07,55,0.5,8,15,40,6,1,43.243,0,14.286,1,-70.401,-60.868,30.909
96,45,9.6e+07,75,-4,19,4,26.667,4,4,23.077,0,27.778,7,-83.976,-56.163,22.156
32,117,3.2e+07,100,4.5,115,56,55.556,1,13,50,0,55.263,1,-49.758,-55.195,23.166
