Rs(GBu),NumCh,BCh(GHz),Lspan(KM),Ptx(dBm),CutNumCh,ChDistCutCen,TotCongLSP(%),RHEffecIdle,LHEffecIdle,RHCongLSP(%),RFirstIdle,LHCongLSP(%),LFirstIdle,PowNli(dB),PowAse(dB),SnrLink(dB)
96,45,9.6e+07,120,-2,38,15,66.667,6,8,85.714,0,62.162,0,-75.957,-45.869,13.865
96,45,9.6e+07,70,2,43,20,31.111,0,4,0,0,30.952,0,-65.961,-57.324,28.767
64,59,6.4e+07,55,-5,8,22,47.458,5,3,47.059,0,42.857,2,-83.712,-62.629,27.595
64,59,6.4e+07,90,-2,4,26,52.542,6,1,52.727,1,33.333,2,-74.944,-54.471,22.432
64,59,6.4e+07,85,1,53,23,47.458,2,7,33.333,0,48.077,0,-64.882,-55.618,26.132
32,117,3.2e+07,110,4,48,11,46.154,9,15,36.232,1,59.574,0,-50.397,-52.916,22.466
96,45,9.6e+07,85,1,33,10,42.222,5,5,41.667,5,40.625,0,-68.167,-53.857,24.699
96,45,9.6e+07,60,-3.5,29,6,51.111,1,8,18.75,6,67.857,1,-82.379,-59.674,26.15
64,59,6.4e+07,75,0,57,27,49.153,0,5,0,0,50,0,-68.721,-57.924,27.576
32,117,3.2e+07,115,-3.5,35,24,49.573,10,9,50,2,47.059,2,-73.968,-51.778,18.251
96,45,9.6e+07,55,0,22,1,44.444,5,8,39.13,1,47.619,1,-71.545,-60.868,30.511
96,45,9.6e+07,120,-1.5,33,10,48.889,5,4,41.667,6,50,1,-76.373,-45.869,14.365
64,59,6.4e+07,80,-1.5,48,18,57.627,6,6,54.545,0,57.447,1,-72.364,-56.768,25.15
64,59,6.4e+07,75,3,6,24,52.542,4,3,50.943,0,60,2,-59.506,-57.924,28.633
96,45,9.6e+07,80,2.5,33,10,46.667,3,6,25,2,53.125,0,-63.728,-55.008,26.96
96,45,9.6e+07,110,1.5,24,1,51.111,5,6,42.857,0,56.522,0,-66.114,-48.145,19.576
96,45,9.6e+07,100,-4,33,10,53.333,6,5,50,0,53.125,2,-83.174,-50.424,16.422
96,45,9.6e+07,85,3.5,3,20,68.889,7,0,71.429,1,0,0,-61.217,-53.857,26.625
64,59,6.4e+07,80,-2.5,34,4,62.712,5,8,52,0,69.697,1,-75.398,-56.768,24.209
64,59,6.4e+07,110,-5,14,16,42.373,5,3,44.444,0,30.769,4,-83.546,-49.905,14.904
96,45,9.6e+07,110,-1,29,6,64.444,9,8,75,1,57.143,1,-73.774,-48.145,17.133
96,45,9.6e+07,55,-3,33,10,60,5,7,41.667,2,65.625,1,-80.702,-60.868,27.823
96,45,9.6e+07,55,-2.5,31,8,55.556,9,4,71.429,0,46.667,0,-78.177,-60.868,28.288
96,45,9.6e+07,60,4.5,43,20,53.333,0,6,0,0,54.762,0,-58.462,-59.674,30.516
64,59,6.4e+07,55,2.5,36,6,45.763,6,7,43.478,0,45.714,0,-60.325,-62.629,30.816
96,45,9.6e+07,100,3.5,39,16,53.333,4,6,66.667,0,50,2,-60.537,-50.424,23.52
32,117,3.2e+07,65,-2.5,55,4,56.41,13,10,58.065,0,53.704,0,-69.517,-63.265,29.841
96,45,9.6e+07,55,0.5,39,16,64.444,2,7,33.333,0,68.421,0,-69.558,-60.868,30.817
96,45,9.6e+07,110,3.5,6,17,46.667,6,1,48.718,1,20,2,-61.353,-48.145,21.442
32,117,3.2e+07,110,1,40,19,46.154,11,10,45.455,0,46.154,0,-59.237,-52.916,23.005
64,59,6.4e+07,50,-2,54,24,54.237,3,8,60,0,52.83,0,-73.944,-63.842,31.437
64,59,6.4e+07,50,-3,1,29,54.237,8,0,53.448,1,0,0,-78.553,-63.842,30.698
32,117,3.2e+07,50,-1,49,10,47.009,9,10,45.588,2,47.917,2,-67.397,-66.852,33.106
96,45,9.6e+07,90,3,17,6,51.111,8,4,57.143,0,37.5,1,-61.933,-52.71,25.22
